A
Jamale Aarrass
Patrick Abada
Ould Lamine Abdallah
Ben Ahmed Abdelkrim
Jacques Accambray
Hamida Addèche
André Adelheim
Francis Agbo
Nicolas Aissat
Stella Akakpo
Pierre Alard
Michèle Alayrangues
Louis-Henri Albinet
David Alerte
Jacques Aletti
Émile Ali-Khan
Gilbert Allart
Charles Alzieu
Hamoud Ameur
Caroline Ammel
Jean-Claude Amoureux
Phara Anacharsis
Alain Andji
Mathilde Andraud
Géo André
Jacqueline André
Jacques André
Mame-Ibra Anne
Charlemagne Anyamah
Joseph Arame
Kléber Argouac'h
Jean-Claude Arifon
Henri Arnaud (athlete)
Pierre Arnaudin
Jacques Arnoux
Paul Arpin
Christine Arron
Teddy Atine-Venel
André Audinet
Gilbert Auvergne
Bastien Auzeil
Nadine Auzeil
B
Mehdi Baala
Rose-Aimée Bacoul
Étienne Bally
Roger Bambuck
Emmanuel Bangué
Monique Bantégny
Georges Baraton
Camille Barbaud
Édouard Barbazan
Eunice Barber
Ghislaine Barnay
Romain Barras
Pascal Barré
Patrick Barré
Robert Bart
Dimitri Bascou
Éric Battista
Fernand Bauduin
Eugène Bayon
Chantal Beaugeant
Madely Beaugendre
Laureen Beckles
Seghir Beddari
Arnjolt Beer
François Bégeot
Abdellah Béhar
Jean-Jacques Behm
Jean-Michel Bellot
Wilhem Belocian
Claude Bénard
Paul Béranger
Henri Bernard
Jean-Claude Bernard
Michel Bernard (runner)
Charlus Bertimon
Gilles Bertould
Eugène Besse
Colette Besson
Quentin Bigot
Lionel Billas
Cindy Billaud
Laurence Bily
Edmond Bimont
Blandine Bitzner-Ducret
Alain Blondel
Philippe Bobin
Robert Bobin
Jean-Pierre Boccardo
Robert Bogey
Raymond Boisset
René Bonino
Françoise Bonnet
Louis Bonniot de Fleurac
Hélène Bons
Paul Bontemps
António Martins Bordelo
Jérôme Bortoluzzi
Nadir Bosch
Vanessa Boslak
Pierre-Ambroise Bosse
Jean Bouin
David Boulanger
Jacques Boulanger
Wilfrid Boulineau
Julien Boullery
Patrick Bourbeillon
Maxime Bousselaire
Jean-Jacques Boussemart
Renon Boissière
Charles Bouvet
Jacky Boxberger
Ali Brakchi
Henry Brault
Georges Breitman
Simone Brièrre
Norbert Brige
David Brisseault
Paul Bronner
Edmond Brossard
Jean-Olivier Brosseau
Yves Brouzet
Gérard Brunel
Thierry Brusseau
